instructie;en;nl;af;sq;am;ar;hy;as;az;eu;bn;my;bs;bg;ca;zh;da;de;et;fo;fi;fr;gl;ka;el;gu;he;hi;hu;ga;is;id;it;ja;kn;kk;km;ko;hr;lo;lv;lt;mk;ms;ml;mr;mn;ne;no;uk;or;ug;uz;fa;pl;pt;pa;ro;ru;sr;si;sk;sl;es;sw;ta;te;th;bo;cs;tr;ur;vi;cy;be;zu;sv;catalog;key;variation
Streef naar ± 22 tekens (UI-ruimte).;Move Down One Position;Een positie omlaag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Een positie omlaag;
Streef naar ± 138 tekens (UI-ruimte).;A full backup contains active and finished items, recurrences, and settings. CSV is only intended as a readable history overview.;Een volledige backup bevat actieve en afgeronde items, herhalingen en instellingen. CSV is alleen bedoeld als leesbaar historie-overzicht.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Een volledige backup bevat actieve en afgeronde items, herhalingen en instellingen. CSV is alleen bedoeld als leesbaar historie-overzicht.;
Streef naar ± 7 tekens (UI-ruimte).;Unit;Eenheid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Eenheid;
Streef naar ± 6 tekens (UI-ruimte).;First;Eerste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Eerste;
Streef naar ± 26 tekens (UI-ruimte).;Add First Recurrence;Eerste herhaling toevoegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Eerste herhaling toevoegen;
Streef naar ± 27 tekens (UI-ruimte).;Add First Birthday;Eerste verjaardag toevoegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Eerste verjaardag toevoegen;
Streef naar ± 19 tekens (UI-ruimte).;Next date;Eerstvolgende datum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Eerstvolgende datum;
Streef naar ± 14 tekens (UI-ruimte).;Custom holiday;Eigen feestdag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Eigen feestdag;
Streef naar ± 24 tekens (UI-ruimte).;Add Custom Holiday;Eigen feestdag toevoegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Eigen feestdag toevoegen;
Streef naar ± 78 tekens (UI-ruimte).;You can also add custom holidays with the plus button in the orange category.;Eigen feestdagen kun je ook toevoegen met de plusknop bij de oranje categorie.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Eigen feestdagen kun je ook toevoegen met de plusknop bij de oranje categorie.;
Streef naar ± 20 tekens (UI-ruimte).;End-of-Day Reminder;Einde-dagherinnering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Einde-dagherinnering;
Streef naar ± 12 tekens (UI-ruimte).;Quarterly;Elk kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Elk kwartaal;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 10 tekens (UI-ruimte).;Every %lld;Elke %lld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Elke %lld;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 25 tekens (UI-ruimte).;Every %lldth of the Month;Elke %llde van de maand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Elke %llde van de maand;
Streef naar ± 27 tekens (UI-ruimte).;No text was entered.;Er is geen tekst ingevoerd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Er is geen tekst ingevoerd.;
Streef naar ± 57 tekens (UI-ruimte).;No automatic safety copy is available yet.;Er is nog geen automatische veiligheidskopie beschikbaar.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Er is nog geen automatische veiligheidskopie beschikbaar.;
Streef naar ± 18 tekens (UI-ruimte).;Export failed;Exporteren mislukt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Exporteren mislukt;
Behoud speciale tekens: …. Streef naar ± 16 tekens (UI-ruimte).;Additional note…;Extra notitie...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Extra notitie...;
Streef naar ± 12 tekens (UI-ruimte).;One Day More;Eén dag meer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Eén dag meer;
Streef naar ± 14 tekens (UI-ruimte).;One Day Less;Eén dag minder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Eén dag minder;
Streef naar ± 23 tekens (UI-ruimte).;Holiday on a Fixed Date;Feestdag op vaste dag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Feestdag op vaste dag;
Streef naar ± 10 tekens (UI-ruimte).;Holidays;Feestdagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Feestdagen;
Streef naar ± 17 tekens (UI-ruimte).;Choose Holidays;Feestdagen kiezen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Feestdagen kiezen;
Streef naar ± 22 tekens (UI-ruimte).;Flexible (approximate);Flexibel (ongeveer);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Flexibel (ongeveer);
Streef naar ± 9 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;Forget It;Forget It;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Forget It;
Streef naar ± 10 tekens (UI-ruimte).;Frequency;Frequentie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Frequentie;
Streef naar ± 113 tekens (UI-ruimte).;Go back to the calendar to see your recurring item. The app automatically schedules it endlessly into the future.;Ga terug naar de agenda om je herhaling te bekijken. De app plant deze automatisch eindeloos vooruit.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Ga terug naar de kalender om je herhaling te vinden. Een herhaling wordt steeds opnieuw vooruit gepland.;
Streef naar ± 13 tekens (UI-ruimte).;Date of Birth;Geboortedatum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geboortedatum;
Streef naar ± 12 tekens (UI-ruimte).;Birth year;Geboortejaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geboortejaar;
Streef naar ± 20 tekens (UI-ruimte).;Birth year uncertain;Geboortejaar onzeker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geboortejaar onzeker;
Streef naar ± 98 tekens (UI-ruimte).;Use the buttons to move step by step, or tap another weekday to move it there directly.;Gebruik de knoppen om te verplaatsen, of tik op een andere weekdag om het direct daar te plaatsen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Gebruik de controls, of tik op een andere weekdag om direct te verplaatsen.;
Streef naar ± 74 tekens (UI-ruimte).;Use the filters to show completed items from one specific tab only.;Gebruik de filters om alleen afgeronde items uit een bepaalde tab te zien.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Gebruik de filterknoppen om alleen afgeronde items van een bepaalde tab te zien.;
Streef naar ± 19 tekens (UI-ruimte).;Use this place;Gebruik deze plaats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Gebruik deze plaats;
Streef naar ± 28 tekens (UI-ruimte).;Use my current location;Gebruik mijn huidige locatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Gebruik mijn huidige locatie;
Behoud speciale tekens: ‘ ’. Streef naar ± 68 tekens (UI-ruimte).;Allow notifications for ‘Forget It’ in iOS Settings.;Geef ‘Forget It’ toestemming voor meldingen via de iOS-instellingen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geef ‘Don’t forget’ toestemming voor meldingen via de iOS-instellingen.;
Streef naar ± 6 tekens (UI-ruimte).;Yellow;Geel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geel;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 23 tekens (UI-ruimte).;No completed %@ items;Geen afgeronde %@-items;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geen afgeronde %@-items;
Streef naar ± 23 tekens (UI-ruimte).;No other categories;Geen andere categorieën;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geen andere categorieën;
Streef naar ± 19 tekens (UI-ruimte).;No iCloud account;Geen iCloud-account;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geen iCloud-account;
Streef naar ± 70 tekens (UI-ruimte).;"No iCloud account is signed in; data remains only on this device";"Geen iCloud-account aangemeld; gegevens blijven alleen op dit apparaat";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;"Geen iCloud-account aangemeld; gegevens blijven alleen op dit apparaat";
Behoud speciale tekens: ✓. Streef naar ± 17 tekens (UI-ruimte).;No open tasks ✓;Geen open taken ✓;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geen open taken ✓;
Streef naar ± 35 tekens (UI-ruimte).;No unfinished tasks for today;Geen openstaande taken voor vandaag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geen openstaande taken voor vandaag;
Streef naar ± 61 tekens (UI-ruimte).;Access denied. You can change this later in iOS Settings.;Geen toegang. Je kunt dit later wijzigen in iOS-instellingen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geen toegang. Je kunt dit later wijzigen in iOS-instellingen.;
Streef naar ± 19 tekens (UI-ruimte).;No search results;Geen zoekresultaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Geen zoekresultaten;
Streef naar ± 24 tekens (UI-ruimte).;Data could not be opened;Gegevens niet geopend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Gegevens niet geopend;
Streef naar ± 6 tekens (UI-ruimte).;Done;Gereed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Gereed;
Streef naar ± 9 tekens (UI-ruimte).;Yesterday;Gisteren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Gisteren;
Streef naar ± 19 tekens (UI-ruimte).;Collapse Charts;Grafieken inklappen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Grafieken inklappen;
Streef naar ± 20 tekens (UI-ruimte).;Expand Charts;Grafieken uitklappen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Grafieken uitklappen;
Streef naar ± 5 tekens (UI-ruimte).;Grey;Grijs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Grey;
Streef naar ± 5 tekens (UI-ruimte).;Gray;Grijs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Grijs;
Streef naar ± 5 tekens (UI-ruimte).;Green;Groen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Groen;
Streef naar ± 5 tekens (UI-ruimte).;Group;Groep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Groep;
Streef naar ± 10 tekens (UI-ruimte).;Group name;Groepsnaam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Groepsnaam;
Streef naar ± 5 tekens (UI-ruimte).;Large;Groot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Groot;
Streef naar ± 15 tekens (UI-ruimte).;Open full app;Hele app openen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Hele app openen;
Streef naar ± 20 tekens (UI-ruimte).;Reset the entire app;Hele app resetten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Hele app resetten;
Streef naar ± 21 tekens (UI-ruimte).;Reset the Entire App?;Hele app resetten?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Hele app resetten?;
Streef naar ± 15 tekens (UI-ruimte).;Move to Top;Helemaal omhoog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Helemaal omhoog;
Streef naar ± 15 tekens (UI-ruimte).;Move to Bottom;Helemaal omlaag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Helemaal omlaag;
Streef naar ± 10 tekens (UI-ruimte).;Recurrence;Herhaling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Herhaling;
Streef naar ± 19 tekens (UI-ruimte).;Add recurring item;Herhaling toevoegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Herhaling toevoegen;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 26 tekens (UI-ruimte).;Add Recurrence to %@;Herhaling toevoegen aan %@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Herhaling toevoegen aan %@;
Streef naar ± 11 tekens (UI-ruimte).;Recurring;Herhalingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Herhalingen;
Streef naar ± 19 tekens (UI-ruimte).;Manage Recurrences;Herhalingen beheren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Herhalingen beheren;
Streef naar ± 19 tekens (UI-ruimte).;Reopen the app;Open de app opnieuw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Heropen de app;
Streef naar ± 26 tekens (UI-ruimte).;The backup file is empty.;Het backupbestand is leeg.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Het backupbestand is leeg.;
Streef naar ± 36 tekens (UI-ruimte).;"How long open; click to move";"Hoe lang open; klik voor verplaatsen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;"Hoe lang open; klik voor verplaatsen";
Streef naar ± 53 tekens (UI-ruimte).;Press and hold for 3 seconds to reset the entire app.;Houd 3 seconden ingedrukt om de hele app te resetten.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Houd 3 seconden ingedrukt om de hele app te resetten.;
Streef naar ± 51 tekens (UI-ruimte).;Press and hold for 3 seconds to activate demo data.;Houd 3 seconden ingedrukt om demodata te activeren.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Houd 3 seconden ingedrukt om demodata te activeren.;
Streef naar ± 27 tekens (UI-ruimte).;Replace current data?;Huidige gegevens vervangen?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Huidige gegevens vervangen?;
Streef naar ± 16 tekens (UI-ruimte).;Current Age;Huidige leeftijd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Huidige leeftijd;
Streef naar ± 16 tekens (UI-ruimte).;Current location;Huidige locatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Huidige locatie;
Streef naar ± 27 tekens (UI-ruimte).;Replace current selection?;Huidige selectie vervangen?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Huidige selectie overschrijven?;
Streef naar ± 32 tekens (UI-ruimte).;Ideas for the app? Send us an ;Idee voor de app? Stuur ons een ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Hulp nodig? Stuur ons een ;
Streef naar ± 38 tekens (UI-ruimte).;Ideas for the app? Send us an email;Idee voor de app? Stuur ons een e-mail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Hulp nodig? Stuur ons een email;
Streef naar ± 5 tekens (UI-ruimte).;Icon;Icoon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Icoon;
Streef naar ± 23 tekens (UI-ruimte).;Change icon and color;Icoon en kleur wijzigen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Icoon en kleur wijzigen;
Streef naar ± 106 tekens (UI-ruimte).;Finished something? Tap the circle on the right. The item will move to the last category: Finished.;Iets afgerond? Tik op de cirkel rechts. Het item wordt dan verplaatst naar de laatste categorie: Afgerond.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Iets afgerond? Tik op de cirkel rechts. Het verhuist naar Afgerond.;
Streef naar ± 66 tekens (UI-ruimte).;In non-leap years, the birthday is shown on February 28.;In niet-schrikkeljaren wordt de verjaardag op 28 februari getoond.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;In niet-schrikkeljaren wordt de verjaardag op 28 februari getoond.;
Streef naar ± 6 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;Indigo;Indigo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Indigo;
Streef naar ± 9 tekens (UI-ruimte).;Collapsed;Ingeklapt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Ingeklapt;
Streef naar ± 7 tekens (UI-ruimte).;Content;Inhoud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Inhoud;
Streef naar ± 12 tekens (UI-ruimte).;Settings;Instellingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Instellingen;
Streef naar ± 6 tekens (UI-ruimte).;Input;Invoer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Invoer;
Streef naar ± 21 tekens (UI-ruimte).;Islamic calendar;Islamitische kalender;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Islamitische kalender;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 10 tekens (UI-ruimte).;Item at %@;Item op %@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Item at %@;
Streef naar ± 30 tekens (UI-ruimte).;Item moved\\nto Finished;Item verplaatst\\nnaar Afgerond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Item verplaatst\\nnaar Afgerond;
Streef naar ± 117 tekens (UI-ruimte).;Items older than the selected period will be deleted. A full safety copy will be created automatically first.;Items ouder dan de gekozen periode worden verwijderd. Eerst wordt automatisch een volledige veiligheidskopie gemaakt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Items ouder dan de gekozen periode worden verwijderd. Eerst wordt automatisch een volledige veiligheidskopie gemaakt.;
Streef naar ± 10 tekens (UI-ruimte).;Yes please;Ja graag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Ja graag;
Streef naar ± 4 tekens (UI-ruimte).;Year;Jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Jaar;
Streef naar ± 20 tekens (UI-ruimte).;Yearly (anniversary);Jaarlijks (jubileum);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Jaarlijks (jubileum);
Streef naar ± 5 tekens (UI-ruimte).;Years;Jaren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Jaren;
Streef naar ± 85 tekens (UI-ruimte).;This calendar has no more secrets left for you. Time to start planning the fun stuff!;Deze kalender heeft geen geheimen meer voor jou. Tijd om leuke dingen te plannen!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Je agenda staat klaar voor alles wat komt.;
Streef naar ± 92 tekens (UI-ruimte).;Your data is stored privately in iCloud and restored automatically on your Apple devices.;Je gegevens worden privé via iCloud bewaard en automatisch teruggezet op je Apple-apparaten.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Je gegevens worden privé via iCloud bewaard en automatisch teruggezet op je Apple-apparaten.;
