instructie;en;nl;af;sq;am;ar;hy;as;az;eu;bn;my;bs;bg;ca;zh;da;de;et;fo;fi;fr;gl;ka;el;gu;he;hi;hu;ga;is;id;it;ja;kn;kk;km;ko;hr;lo;lv;lt;mk;ms;ml;mr;mn;ne;no;uk;or;ug;uz;fa;pl;pt;pa;ro;ru;sr;si;sk;sl;es;sw;ta;te;th;bo;cs;tr;ur;vi;cy;be;zu;sv;catalog;key;variation
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 25 tekens (UI-ruimte).;%lld in the last 7 days;%lld in afgelopen 7 dagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld in afgelopen 7 dagen;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 9 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;%lld open;%lld open;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld open;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld, %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 13 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;%1$lld/%2$lld;%1$lld/%2$lld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld/%lld;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 6 tekens (UI-ruimte).;%lldth;%llde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%llde;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Behoud speciale tekens: °. Streef naar ± 5 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;%lld°;%lld°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld°;
Streef naar ± 1 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;0;
Streef naar ± 23 tekens (UI-ruimte).;0 = today, 1 = tomorrow;0 = vandaag, 1 = morgen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;0 = vandaag, 1 = morgen;
Streef naar ± 6 tekens (UI-ruimte).;1 year;1 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;1 jaar;
Streef naar ± 19 tekens (UI-ruimte).;January 1 in week 1;1 januari in week 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;1 januari in week 1;
Streef naar ± 6 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;1 open;1 open;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;1 open;
Streef naar ± 9 tekens (UI-ruimte).;1.5 years;1,5 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;1,5 jaar;
Streef naar ± 7 tekens (UI-ruimte).;2 years;2 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;2 jaar;
Streef naar ± 4 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;2000;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;2000;
Streef naar ± 9 tekens (UI-ruimte).;3 months;3 maanden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;3 maanden;
Streef naar ± 9 tekens (UI-ruimte).;6 months;6 maanden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;6 maanden;
Streef naar ± 1 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;7;
Streef naar ± 9 tekens (UI-ruimte).;9 months;9 maanden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;9 maanden;
Streef naar ± 11 tekens (UI-ruimte).;Get Started;Aan de slag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Aan de slag;
Streef naar ± 10 tekens (UI-ruimte).;Created;Aangemaakt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Aangemaakt;
Streef naar ± 6 tekens (UI-ruimte).;Number;Aantal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Aantal;
Streef naar ± 21 tekens (UI-ruimte).;Number of Days Before;Aantal dagen vooraf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Aantal dagen vooraf;
Streef naar ± 16 tekens (UI-ruimte).;Number to Show;Aantal weergeven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Aantal weergeven;
Streef naar ± 7 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;Account;Account;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Account;
Streef naar ± 6 tekens (UI-ruimte).;Active;Actief;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Actief;
Streef naar ± 13 tekens (UI-ruimte).;Action Button;Actieknop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Actieknop;
Streef naar ± 23 tekens (UI-ruimte).;Configure Action Button;Actieknop configureren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Actieknop configureren;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 14 tekens (UI-ruimte).;Actions for %@;Acties voor %@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Acties voor %@;
Streef naar ± 13 tekens (UI-ruimte).;Add Item;Voeg item toe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Add Item;
Streef naar ± 18 tekens (UI-ruimte).;Last 10 Weeks;Afgelopen 10 weken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Afgelopen 10 weken;
Streef naar ± 20 tekens (UI-ruimte).;Last 12 Months;Afgelopen 12 maanden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Afgelopen 12 maanden;
Streef naar ± 17 tekens (UI-ruimte).;Last 7 Days;Afgelopen 7 dagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Afgelopen 7 dagen;
Streef naar ± 8 tekens (UI-ruimte).;Finished;Afgerond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Afgerond;
Streef naar ± 25 tekens (UI-ruimte).;Clear completed items;Afgeronde items opschonen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Afgerond opschonen;
Streef naar ± 21 tekens (UI-ruimte).;Delete Finished?;Afgerond verwijderen?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Afgerond verwijderen?;
Streef naar ± 34 tekens (UI-ruimte).;Download completed items as CSV;Afgeronde items downloaden als CSV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Afgeronde items downloaden als CSV;
Streef naar ± 53 tekens (UI-ruimte).;Completed items per day over the past seven days;Afgeronde items per dag over de afgelopen zeven dagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Afgeronde items per dag over de afgelopen zeven dagen;
Streef naar ± 79 tekens (UI-ruimte).;Completed items appear here automatically and can always be restored.;Afgeronde items verschijnen hier automatisch en kun je altijd weer terugzetten.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Afgeronde items verschijnen hier automatisch en kun je altijd weer terugzetten.;
Streef naar ± 21 tekens (UI-ruimte).;Truncate long text;Lange tekst afsnijden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Afsnijden als het te lang is;
Streef naar ± 12 tekens (UI-ruimte).;Mark as Done;Afvinken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Afvinken;
Streef naar ± 8 tekens (UI-ruimte).;Calendar;Agenda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Agenda;
Streef naar ± 20 tekens (UI-ruimte).;Load Calendar Ahead;Agenda vooruit laden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Agenda vooruit laden;
Streef naar ± 13 tekens (UI-ruimte).;Calendar item;Agenda-item;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Agenda-item;
Streef naar ± 8 tekens (UI-ruimte).;General;Algemeen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Algemeen;
Streef naar ± 103 tekens (UI-ruimte).;All finished and deleted items will be permanently deleted. This cannot be undone.;Alle afgeronde en verwijderde items worden definitief verwijderd. Dit kan niet ongedaan worden gemaakt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Alle afgeronde en verwijderde items worden definitief verwijderd. Dit kan niet ongedaan worden gemaakt.;
Streef naar ± 165 tekens (UI-ruimte).;All calendar items, tasks, recurrences, finished items, and settings will be permanently deleted. The app will then start as if you downloaded it for the first time.;Alle agenda-items, taken, herhalingen, afgeronde items en instellingen worden definitief verwijderd. De app start daarna alsof je hem voor het eerst hebt gedownload.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Alle agenda-items, taken, herhalingen, afgeronde items en instellingen worden definitief verwijderd. De app start daarna alsof je hem voor het eerst hebt gedownload.;
Streef naar ± 15 tekens (UI-ruimte).;Only this item;Alleen dit item;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Alleen dit item;
Streef naar ± 22 tekens (UI-ruimte).;Quick entry field only;Alleen snel invoerveld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Alleen snel invoerveld;
Streef naar ± 14 tekens (UI-ruimte).;Today only;Alleen vandaag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Alleen vandaag;
Streef naar ± 5 tekens (UI-ruimte).;All;Alles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Alles;
Streef naar ± 59 tekens (UI-ruimte).;Keep everything close at hand, even if you lose your phone.;Alles bij de hand. Ook als je je telefoon verliest.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Alles bij de hand. Ook als je je telefoon verliest.;
Streef naar ± 18 tekens (UI-ruimte).;Deselect All;Alles deselecteren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Alles deselecteren;
Streef naar ± 16 tekens (UI-ruimte).;Select All;Alles selecteren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Alles selecteren;
Streef naar ± 14 tekens (UI-ruimte).;All that fits;Alles wat past;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Alles wat past;
Streef naar ± 65 tekens (UI-ruimte).;If you lose your device, your data cannot be recovered.;Als je apparaat kwijtraakt, zijn je gegevens niet terug te halen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Als je apparaat kwijt raakt, zijn je gegevens niet terug te halen.;
Streef naar ± 14 tekens (UI-ruimte).;Different date;Andere datum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Andere datum in agenda...;
Behoud speciale tekens: …. Streef naar ± 27 tekens (UI-ruimte).;Different date in calendar…;Andere datum in agenda…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Andere datum in agenda…;
Streef naar ± 8 tekens (UI-ruimte).;Cancel;Annuleer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Annuleer;
